Date,DayOfWeek,Guests,Event,Weather,Dish,Prepared_Qty,Sold_Qty,Waste_Qty
01-12-2024,Sunday,187,,Cold,Veg Pulao,37,36,7
23-11-2024,Saturday,321,,Sunny,Chicken Curry,44,44,3
03-01-2024,Wednesday,65,,Cloudy,Veg Pulao,27,23,4
20-08-2024,Tuesday,53,,Rainy,Veg Manchurian,38,34,4
08-10-2024,Tuesday,338,Festival,Hot,Pasta Alfredo,41,40,7
01-07-2024,Monday,161,,Hot,Aloo Paratha,25,25,3
16-05-2024,Thursday,72,,Cold,Chole Bhature,36,35,7
21-05-2024,Tuesday,111,,Cold,Paneer Butter Masala,44,44,3
01-08-2024,Thursday,213,,Cold,Chole Bhature,26,26,3
11-03-2024,Monday,119,Wedding,Cold,Masala Dosa,35,33,9
04-10-2024,Friday,196,,Cold,Pasta Alfredo,49,45,4
23-02-2024,Friday,154,Conference,Cloudy,Chicken Curry,50,50,3
13-07-2024,Saturday,146,,Cold,Aloo Paratha,32,29,3
26-09-2024,Thursday,183,Festival,Cold,Fried Rice,50,50,3
19-01-2024,Friday,177,,Cold,Grilled Fish,50,46,4
11-08-2024,Sunday,190,,Sunny,Pasta Alfredo,27,27,3
17-10-2024,Thursday,397,,Cloudy,Fried Rice,28,28,3
22-02-2024,Thursday,246,,Hot,Paneer Butter Masala,20,20,3
17-09-2024,Tuesday,246,Wedding,Cold,Fried Rice,44,42,9
21-09-2024,Saturday,94,,Cloudy,Veg Biryani,47,47,3
13-11-2024,Wednesday,158,,Sunny,Veg Biryani,41,38,3
29-06-2024,Saturday,353,,Sunny,Veg Biryani,46,46,3
22-07-2024,Monday,357,Corporate Party,Cloudy,Veg Manchurian,50,49,7
29-07-2024,Monday,340,,Hot,Veg Biryani,48,48,3
16-06-2024,Sunday,350,,Cold,Butter Naan,50,50,3
23-08-2024,Friday,299,,Rainy,Veg Biryani,25,25,3
13-09-2024,Friday,59,,Sunny,Bajra Khichdi,44,44,3
11-10-2024,Friday,87,Festival,Cold,Veg Biryani,50,46,4
04-06-2024,Tuesday,263,,Hot,Idli Sambar,28,25,3
28-09-2024,Saturday,311,,Cold,Dal Tadka,39,37,9
31-07-2024,Wednesday,290,,Cold,Paneer Butter Masala,39,39,3
28-11-2024,Thursday,378,,Hot,Hakka Noodles,42,42,3
30-06-2024,Sunday,51,,Hot,Chicken Curry,36,34,9
30-01-2024,Tuesday,116,,Rainy,Sushi Rolls,45,45,3
25-04-2024,Thursday,273,Wedding,Hot,Hakka Noodles,43,41,9
20-09-2024,Friday,257,,Rainy,Veg Biryani,28,27,7
15-12-2024,Sunday,388,,Rainy,Chicken Curry,50,49,7
07-10-2024,Monday,296,,Cloudy,Bruschetta,25,25,3
04-04-2024,Thursday,349,,Sunny,Chicken Curry,46,42,4
03-10-2024,Thursday,382,,Cold,Veg Biryani,50,46,4
05-08-2024,Monday,334,,Hot,Paneer Butter Masala,33,33,3
31-01-2024,Wednesday,382,,Hot,Grilled Fish,40,37,3
01-08-2024,Thursday,150,,Cold,Fried Rice,50,48,9
13-03-2024,Wednesday,331,,Cloudy,Chicken Curry,38,34,4
10-02-2024,Saturday,366,Wedding,Cold,Dal Tadka,50,48,9
16-08-2024,Friday,180,Wedding,Cloudy,Veg Biryani,38,38,3
09-10-2024,Wednesday,267,,Cold,Paneer Tikka,35,32,3
07-12-2024,Saturday,115,,Cloudy,Chole Bhature,28,28,3
27-03-2024,Wednesday,89,,Cloudy,Fried Rice,20,16,4
12-10-2024,Saturday,349,,Cold,Dal Tadka,42,40,9
12-10-2024,Saturday,100,,Rainy,Idli Sambar,35,35,3
29-05-2024,Wednesday,103,,Rainy,Butter Naan,43,43,3
28-09-2024,Saturday,290,,Cold,Dal Tadka,50,46,4
26-02-2024,Monday,89,,Cloudy,Masala Dosa,24,24,3
29-04-2024,Monday,369,,Rainy,Chole Bhature,38,36,9
08-09-2024,Sunday,302,,Cold,Pizza Margherita,50,48,9
01-12-2024,Sunday,293,Conference,Cold,Veg Pulao,50,48,9
01-04-2024,Monday,246,Corporate Party,Hot,Idli Sambar,29,29,3
15-09-2024,Sunday,216,Festival,Hot,Idli Sambar,50,50,3
11-11-2024,Monday,282,,Cold,Aloo Paratha,25,24,7
12-08-2024,Monday,195,,Cold,Butter Naan,45,45,3
11-05-2024,Saturday,336,,Cold,Pav Bhaji,50,46,4
02-02-2024,Friday,334,Conference,Rainy,Pizza Margherita,50,47,3
10-02-2024,Saturday,96,,Cloudy,Butter Naan,32,32,3
20-04-2024,Saturday,87,Conference,Hot,Veg Biryani,47,45,9
25-01-2024,Thursday,128,,Sunny,Veg Biryani,25,23,9
08-04-2024,Monday,195,Wedding,Rainy,Mutton Curry,42,42,3
29-06-2024,Saturday,251,,Hot,Paneer Butter Masala,37,33,4
29-08-2024,Thursday,271,Festival,Rainy,Fried Rice,49,49,3
28-06-2024,Friday,171,,Hot,Paneer Butter Masala,20,20,3
17-07-2024,Wednesday,356,,Hot,Idli Sambar,29,29,3
26-09-2024,Thursday,344,,Hot,Dal Tadka,50,46,4
26-06-2024,Wednesday,287,Wedding,Sunny,Paneer Tikka,36,36,3
23-03-2024,Saturday,138,,Hot,Fried Rice,29,29,3
26-09-2024,Thursday,361,,Cold,Chole Bhature,37,34,3
27-08-2024,Tuesday,67,,Rainy,Veg Pulao,20,17,3
